stream	dataset	path	group	working groups	type	status	enabling	target rate 2.0e34	target rate 1.4e34	HLT Prescales                                                                                          HLT Prescales                                                                                          HLT Prescales                                                                                          HLT Prescales                                                                                               HLT Prescales																										L1 seed {Note: "(L1_A) AND (L1_B)" refers to the actual seed (L1_A) and any L1 algo (L1_B) used to provide L1 candidates in the path (but not to seed the path). In case of doubt, the most trustable source is the configuration of the path itself.}	L1 Prescales                                                                                          L1 Prescales                                                                                          L1 Prescales                                                                                          L1 Prescales                                                                                               L1 Prescales																										
				e.g. "EXO-LL" or "HIG-ZZ" etc...						Emer.	1.6E+34	1.5E+34	1.4E+34	1.3E+34	1.2E+34	1.1E+34	1E+34	7.5E+33	5E+33	2.5E+33	1.6e34+ZB	1.5e34+ZB	1.4e34+ZB	1.3e34+ZB	1.2e34+ZB	1.1e34+ZB	1.0e34+ZB	7.5e33+ZB	5.0e33+ZB	2.5e33+ZB	ECAL 2.0kHz	ECAL 1.7kHz	ECAL 1.4kHz	ECAL 1.2kHz	ECAL 1.0kHz		Emer.	1.6E+34	1.5E+34	1.4E+34	1.3E+34	1.2E+34	1.1E+34	1E+34	7.5E+33	5E+33	2.5E+33	1.6e34+ZB	1.5e34+ZB	1.4e34+ZB	1.3e34+ZB	1.2e34+ZB	1.1e34+ZB	1.0e34+ZB	7.5e33+ZB	5.0e33+ZB	2.5e33+ZB	ECAL 2.0kHz	ECAL 1.7kHz	ECAL 1.4kHz	ECAL 1.2kHz	ECAL 1.0kHz	
PhysicsMuons	DoubleMuon	HLT_Mu23_Mu12_SameSign_DZ_v3	HIG		signal	unprescaled	2E+34	2.6	2.6	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleMu_12_5 OR L1_DoubleMu_13_6 OR L1_DoubleMu_15_5 OR L1_DoubleMu_15_7 OR L1_DoubleMu_15_7_SQ OR L1_DoubleMu_15_7_SQ_Mass_Min4	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	DoubleMuon	HLT_Mu23_Mu12_SameSign_v3	HIG		signal	unprescaled	2E+34	3.1	3.1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleMu_12_5 OR L1_DoubleMu_13_6 OR L1_DoubleMu_15_5 OR L1_DoubleMu_15_7 OR L1_DoubleMu_15_7_SQ OR L1_DoubleMu_15_7_SQ_Mass_Min4	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	DoubleMuon	HLT_Mu23_Mu12_v3	HIG		control	prescaled	2E+34	0.9	0.9	0	30	30	28	26	24	23	20	15	10	5	30	30	28	26	24	23	20	15	10	5	0	0	0	0	0	L1_DoubleMu_12_5 OR L1_DoubleMu_13_6 OR L1_DoubleMu_15_5 OR L1_DoubleMu_15_7 OR L1_DoubleMu_15_7_SQ OR L1_DoubleMu_15_7_SQ_Mass_Min4	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	DoubleMuon	HLT_Mu37_TkMu27_v3	B2G		signal	unprescaled	2E+34	15.23	15.23	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleMu22 OR L1_SingleMu25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	DoubleMuon	HLT_Mu8_TrkIsoVVL_v11	MUO,SUS,SMP		control	prescaled	2E+34	2	2	0	36	36	38	40	43	49	51	51	51	51	36	36	38	40	43	49	51	51	51	51	0	0	0	0	0	L1_SingleMu3 OR L1_SingleMu5 OR L1_SingleMu7	5000	670	670	600	530	450	380	320	240	160	80	670	670	600	530	450	380	320	240	160	80	0	0	0	0	0	
PhysicsMuons	DoubleMuon	HLT_Mu8_v11	MUO,SUS		control	prescaled	2E+34	2	2	0	39	39	40	43	46	52	54	54	54	54	39	39	40	43	46	52	54	54	54	54	0	0	0	0	0	L1_SingleMu3 OR L1_SingleMu5 OR L1_SingleMu7	5000	670	670	600	530	450	380	320	240	160	80	670	670	600	530	450	380	320	240	160	80	0	0	0	0	0	
PhysicsMuons	DoubleMuon	HLT_TripleMu_10_5_5_DZ_v9	SUS,SMP		signal	unprescaled	2E+34	6	6	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_TripleMu0 OR L1_TripleMu_5_5_3 OR L1_TripleMu_5_3_3 OR L1_TripleMu3_SQ	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	DoubleMuon	HLT_TripleMu_12_10_5_v9	SUS,SMP		signal	unprescaled	2E+34	4	4	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_TripleMu0 OR L1_TripleMu_5_5_3 OR L1_TripleMu_5_3_3 OR L1_TripleMu3_SQ	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	DoubleMuon	HLT_TripleMu_5_3_3_Mass3p8to60_DCA_v2	SUS		signal	unprescaled	2E+34	10	10	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_TripleMu0 OR L1_TripleMu_5_5_3 OR L1_TripleMu_5_3_3 OR L1_TripleMu3_SQ	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	DoubleMuon	HLT_TripleMu_5_3_3_Mass3p8to60_DZ_v7	SUS		signal	unprescaled	2E+34	9	9	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_TripleMu0 OR L1_TripleMu_5_5_3 OR L1_TripleMu_5_3_3 OR L1_TripleMu3_SQ	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	DoubleMuon	HLT_TrkMu12_DoubleTrkMu5NoFiltersNoVtx_v5	EXO		control	unprescaled	2E+34	1.8	1.8	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleMu_15_5 OR L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_DoubleMu_15_7_SQ OR L1_DoubleMu_15_7_SQ_Mass_Min4  OR L1_TripleMu_4_4_4	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	DoubleMuon	HLT_TrkMu16_DoubleTrkMu6NoFiltersNoVtx_v11	EXO		signal	unprescaled	2E+34	1.7	1.7	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleMu_15_5 OR L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_DoubleMu_15_7_SQ OR L1_DoubleMu_15_7_SQ_Mass_Min4  OR L1_TripleMu_4_4_4	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	DoubleMuon	HLT_TrkMu17_DoubleTrkMu8NoFiltersNoVtx_v12	EXO		backup	unprescaled	2E+34	1.5	1.5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleMu_15_5 OR L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_DoubleMu_15_7_SQ OR L1_DoubleMu_15_7_SQ_Mass_Min4  OR L1_TripleMu_4_4_4	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	DoubleMuonLowMass	HLT_Dimuon0_LowMass_L1_TM530_v5	BPH		control	prescaled	2E+34	0.2	0.2	0	32	32	34	41	8	11	12	21	42	21	32	32	34	41	8	11	12	21	42	21	0	0	0	0	0	L1_TripleMu_5SQ_3SQ_0OQ	0	40	40	35	27	12	9	7	3	1	1	40	40	35	27	12	9	7	3	1	1	0	0	0	0	0	
PhysicsMuons	DoubleMuonLowMass	HLT_DoubleMu3_TkMu_DsTau3Mu_v2	BPH		signal	unprescaled	2E+34	12	12	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_DoubleMu4_SQ_OS_dR_Max1p2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	DoubleMuonLowMass	HLT_DoubleMu3_Trk_Tau3mu_NoL1Mass_v5	BPH		control	prescaled	2E+34	0.2	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_TripleMu_5SQ_3SQ_0OQ	0	40	40	35	27	12	9	7	3	1	1	40	40	35	27	12	9	7	3	1	1	0	0	0	0	0	
PhysicsMuons	DoubleMuonLowMass	HLT_DoubleMu3_Trk_Tau3mu_v11	BPH		control	prescaled	2E+34	4	4	0	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	0	0	0	0	0	L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_DoubleMu4_SQ_OS_dR_Max1p2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	DoubleMuonLowMass	HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v14	BPH		signal	unprescaled	2E+34	50	50	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	DoubleMuonLowMass	HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_Charge1_v2	BPH		backup	unprescaled	2E+34	5	5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleMu_15_7 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_SingleMu22er2p1 OR L1_SingleMu25 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	DoubleMuonLowMass	HLT_Tau3Mu_Mu7_Mu1_TkMu1_IsoTau15_v2	BPH		signal	unprescaled	2E+34	6	6	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleMu_15_7 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_SingleMu22er2p1 OR L1_SingleMu25 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	DoubleMuonLowMass	HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_Charge1_v2	BPH		control	prescaled	2E+34	1	1	0	15	15	14	13	12	11	10	7	5	2	15	15	14	13	12	11	10	7	5	2	0	0	0	0	0	L1_DoubleMu_15_7 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_SingleMu22er2p1 OR L1_SingleMu25 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	DoubleMuonLowMass	HLT_Tau3Mu_Mu7_Mu1_TkMu1_Tau15_v2	BPH		control	prescaled	2E+34	1.1	1.1	0	14	14	13	12	11	11	9	7	5	2	14	14	13	12	11	11	9	7	5	2	0	0	0	0	0	L1_DoubleMu_15_7 OR L1_DoubleMu4_SQ_OS_dR_Max1p2 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_SingleMu22er2p1 OR L1_SingleMu25 OR L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9 OR L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Dimuon0_Upsilon_L1_4p5NoOS_v6	BPH		control	prescaled	2E+34	0.6	0.6	0	2	2	1	2	5	5	6	7	8	10	2	2	1	2	5	5	6	7	8	10	0	0	0	0	0	 L1_DoubleMu4p5_SQ 	0	80	80	90	50	20	18	14	9	5	2	80	80	90	50	20	18	14	9	5	2	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Dimuon0_Upsilon_L1_4p5_v7	BPH		control	prescaled	2E+34	0.2	0.2	0	5	5	4	6	1	1	1	2	2	3	5	5	4	6	1	1	1	2	2	3	0	0	0	0	0	( L1_DoubleMu4p5_SQ_OS OR L1_DoubleMu4p5_SQ ) AND ( L1_DoubleMu4p5_SQ_OS )	0	80	80	90	50	20	18	14	9	5	2	80	80	90	50	20	18	14	9	5	2	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Dimuon0_Upsilon_L1_4p5er2p0M_v6	BPH		control	prescaled	2E+34	0.5	0.5	0	154	154	144	134	39	37	32	24	16	8	154	154	144	134	39	37	32	24	16	8	0	0	0	0	0	 L1_DoubleMu4p5er2p0_SQ_OS_Mass7to18 	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Dimuon0_Upsilon_L1_4p5er2p0_v7	BPH		control	prescaled	2E+34	0.2	0.2	0	3	3	3	5	1	1	2	2	2	3	3	3	3	5	1	1	2	2	2	3	0	0	0	0	0	( L1_DoubleMu4p5er2p0_SQ_OS OR L1_DoubleMu4p5_SQ ) AND ( L1_DoubleMu4p5er2p0_SQ_OS )	0	80	80	90	50	20	18	14	9	5	2	80	80	90	50	20	18	14	9	5	2	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Dimuon0_Upsilon_L1_5M_v6	BPH		control	prescaled	2E+34	0.2	0.2	0	368	368	343	319	33	31	27	20	14	7	368	368	343	319	33	31	27	20	14	7	0	0	0	0	0	 L1_DoubleMu5_SQ_OS_Mass7to18 	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Dimuon0_Upsilon_L1_5_v7	BPH		control	prescaled	2E+34	0.2	0.2	0	3	3	2	4	1	1	1	1	1	2	3	3	2	4	1	1	1	1	1	2	0	0	0	0	0	( L1_DoubleMu5_SQ_OS OR L1_DoubleMu4p5_SQ) AND ( L1_DoubleMu5_SQ_OS)	0	80	80	90	50	20	18	14	9	5	2	80	80	90	50	20	18	14	9	5	2	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Dimuon0_Upsilon_Muon_L1_TM0_v5	BPH		control	prescaled	2E+34	0.2	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_TripleMu0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Dimuon0_Upsilon_Muon_NoL1Mass_v5	BPH		control	prescaled	2E+34	0.2	0.2	0	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	1	0	0	0	0	0	L1_TripleMu_5_3p5_2p5	0	55	55	40	35	7	5	4	2	1	1	55	55	40	35	7	5	4	2	1	1	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Dimuon0_Upsilon_NoVertexing_v6	BPH		control	prescaled	2E+34	1	1	0	131	131	122	114	105	101	87	66	44	22	131	131	122	114	105	101	87	66	44	22	0	0	0	0	0	 L1_DoubleMu4p5er2p0_SQ_OS_Mass7to18 	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Dimuon10_Upsilon_Barrel_Seagulls_v6	BPH		signal	unprescaled	2E+34	15	15	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleMu4p5er2p0_SQ_OS_Mass7to18	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Dimuon12_Upsilon_eta1p5_v13	BPH		signal	unprescaled	2E+34	15	15	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	 L1_DoubleMu4p5er2p0_SQ_OS_Mass7to18 	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Dimuon14_Phi_Barrel_Seagulls_v6	BPH		signal	unprescaled	2E+34	14	14	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Dimuon24_Phi_noCorrL1_v4	BPH		signal	unprescaled	2E+34	8.2	8.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	 L1_DoubleMu8_SQ	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Dimuon24_Upsilon_noCorrL1_v4	BPH		signal	unprescaled	2E+34	1.5	1.5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	 L1_DoubleMu8_SQ	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_DoubleMu3_DoubleEle7p5_CaloIdL_TrackIdL_Upsilon_v2	BPH		signal	unprescaled	2E+34	5	5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleMu3_OS_DoubleEG7p5Upsilon	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_DoubleMu5_Upsilon_DoubleEle3_CaloIdL_TrackIdL_v2	BPH		signal	unprescaled	2E+34	5	5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleMu5Upsilon_OS_DoubleEG3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Mu20_TkMu0_Phi_v6	BPH		signal	prescaled	2E+34	5	5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleMu16 OR L1_SingleMu18 OR L1_SingleMu20 OR L1_SingleMu16er2p1 OR L1_SingleMu18er2p1 OR L1_SingleMu20er2p1 OR L1_SingleMu22er2p1 OR L1_SingleMu25	400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Mu25_TkMu0_Onia_v6	BPH		signal	prescaled	2E+34	6	6	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleMu22 OR L1_SingleMu25 OR L1_SingleMu20er2p1 OR L1_SingleMu22er2p1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Mu25_TkMu0_Phi_v6	BPH		signal	unprescaled	2E+34	5	5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleMu16 OR L1_SingleMu18 OR L1_SingleMu20 OR L1_SingleMu16er2p1 OR L1_SingleMu18er2p1 OR L1_SingleMu20er2p1 OR L1_SingleMu22er2p1 OR L1_SingleMu25	400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Mu30_TkMu0_Onia_v6	BPH		signal	unprescaled	2E+34	7.6	7.6	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleMu22 OR L1_SingleMu25 OR L1_SingleMu20er2p1 OR L1_SingleMu22er2p1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Mu7p5_L2Mu2_Upsilon_v9	BPH		control	prescaled	2E+34	1	1	0	1	1	1	2	2	2	2	3	3	3	1	1	1	2	2	2	2	3	3	3	0	0	0	0	0	L1_DoubleMu0_SQ	0	430	430	600	290	320	245	190	120	65	32	430	430	600	290	320	245	190	120	65	32	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Mu7p5_Track2_Upsilon_v10	BPH		control	prescaled	2E+34	0.2	0.2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	L1_SingleMu5 OR L1_SingleMu7	5000	670	670	600	530	450	380	320	240	160	80	670	670	600	530	450	380	320	240	160	80	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Mu7p5_Track3p5_Upsilon_v10	BPH		control	prescaled	2E+34	0.2	0.2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleMu5 OR L1_SingleMu7	5000	670	670	600	530	450	380	320	240	160	80	670	670	600	530	450	380	320	240	160	80	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Mu7p5_Track7_Upsilon_v10	BPH		control	prescaled	2E+34	0.1	0.1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_SingleMu5 OR L1_SingleMu7	5000	670	670	600	530	450	380	320	240	160	80	670	670	600	530	450	380	320	240	160	80	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_Trimuon5_3p5_2_Upsilon_Muon_v4	BPH		signal	unprescaled	2E+34	14	14	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_TripleMu_5_3p5_2p5_DoubleMu_5_2p5_OS_Mass_5to17 OR  L1_TripleMu_5_4_2p5_DoubleMu_5_2p5_OS_Mass_5to17	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuOnia	HLT_TrimuonOpen_5_3p5_2_Upsilon_Muon_v2	BPH		control	prescaled	2E+34	5	5	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_TripleMu_5OQ_3p5OQ_2p5OQ_DoubleMu_5_2p5_OQ_OS_Mass_8to14 OR L1_TripleMu_5OQ_3p5OQ_2p5OQ_DoubleMu_5_2p5_OQ_OS_Mass_5to17	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuonEG	HLT_DiMu9_Ele9_CaloIdL_TrackIdL_DZ_v15	SUS,HIG,SMP,EXO		signal	unprescaled	2E+34	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleMu7_EG7 OR L1_DoubleMu7_SQ_EG7	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuonEG	HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v15	SUS,HIG,SMP		control	prescaled	2E+34	1	1	0	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	1	1	1	1	0	0	0	0	0	L1_DoubleMu7_EG7 OR L1_DoubleMu7_SQ_EG7	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuonEG	HLT_DoubleMu20_7_Mass0to30_L1_DM4EG_v6	SMP,BPH		control	prescaled	2E+34	0.6	0.6	0	6	6	6	5	5	5	4	3	2	1	6	6	6	5	5	5	4	3	2	1	0	0	0	0	0	L1_DoubleMu4_OS_EG12 OR L1_DoubleMu5_OS_EG12	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
PhysicsMuons	MuonEG	HLT_DoubleMu20_7_Mass0to30_L1_DM4_v6	SMP,BPH		control	prescaled	2E+34	0.6	0.6	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleMu4_SQ_OS	0	0	0	0	0	140	110	87	58	34	17	0	0	0	0	140	110	87	58	34	17	0	0	0	0	0	
PhysicsMuons	MuonEG	HLT_DoubleMu20_7_Mass0to30_Photon23_v6	SMP,BPH		signal	unprescaled	2E+34	0.6	0.6	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	L1_DoubleMu4_OS_EG12 OR L1_DoubleMu5_OS_EG12	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	
